# r   Lambda(r)
6.645807259073842488e+01 -1.667609434207189434e+00
6.658322903629537848e+01 -1.664979593001922442e+00
6.670838548185231787e+01 -1.664355467186861004e+00
6.683354192740927147e+01 -1.668637159918902935e+00
6.695869837296621085e+01 -1.667771496596974767e+00
6.708385481852315024e+01 -1.674881510607182156e+00
6.720901126408010384e+01 -1.671319126227446938e+00
6.733416770963704323e+01 -1.672229466435525502e+00
6.745932415519399683e+01 -1.678699165434897500e+00
6.758448060075093622e+01 -1.673343397041323399e+00
6.770963704630788982e+01 -1.684259821685855973e+00
6.783479349186482921e+01 -1.688960718664123339e+00
6.795994993742178281e+01 -1.692032464526358249e+00
6.808510638297872219e+01 -1.700275447737377155e+00
6.821026282853567579e+01 -1.697198174111135938e+00
6.833541927409261518e+01 -1.696439172457131273e+00
6.846057571964956878e+01 -1.693982919253255837e+00
6.858573216520650817e+01 -1.694484640484664295e+00
6.871088861076346177e+01 -1.688858920307211742e+00
6.883604505632040116e+01 -1.692291438478435550e+00
6.896120150187735476e+01 -1.699651060618717846e+00
6.908635794743429415e+01 -1.700969260733747879e+00
6.921151439299124775e+01 -1.708401954387422261e+00
6.933667083854818713e+01 -1.705366029545805739e+00
6.946182728410514073e+01 -1.711902555690809846e+00
6.958698372966208012e+01 -1.727115710818629024e+00
6.971214017521903372e+01 -1.720111812057825817e+00
6.983729662077597311e+01 -1.720590191844985739e+00
6.996245306633291250e+01 -1.714963446932528335e+00
7.008760951188986610e+01 -1.713740819545314542e+00
