# r   Lambda(r)
4.806007509386734000e+01 3.776704697146673340e+01
4.818523153942427939e+01 3.787307714872997622e+01
4.831038798498122588e+01 3.797856617465867402e+01
4.843554443053817238e+01 3.808441485519063008e+01
4.856070087609511887e+01 3.819035132618046902e+01
4.868585732165206537e+01 3.829703069806490845e+01
4.881101376720901186e+01 3.840154906993871009e+01
4.893617021276595835e+01 3.850854672616350882e+01
4.906132665832290485e+01 3.861344059847560573e+01
4.918648310387985134e+01 3.871705909417348579e+01
4.931163954943679784e+01 3.882335054423115395e+01
4.943679599499374433e+01 3.893179188395705381e+01
4.956195244055069082e+01 3.903657168153911527e+01
4.968710888610763732e+01 3.914299800418223185e+01
4.981226533166458381e+01 3.924754602129426218e+01
4.993742177722153031e+01 3.935449348101406741e+01
5.006257822277847680e+01 3.945917526392867813e+01
5.018773466833542329e+01 3.956504811629460505e+01
5.031289111389236979e+01 3.967097280308119167e+01
5.043804755944931628e+01 3.977654679759341860e+01
5.056320400500626278e+01 3.988210622217152235e+01
5.068836045056320927e+01 3.998654100885882201e+01
5.081351689612015576e+01 4.009176464934239448e+01
5.093867334167710226e+01 4.019715549205741922e+01
5.106382978723404165e+01 4.030302806971351970e+01
5.118898623279098814e+01 4.040924790416070067e+01
5.131414267834793463e+01 4.051412913026550910e+01
5.143929912390488113e+01 4.061955013665485836e+01
5.156445556946182762e+01 4.072485621315708215e+01
5.168961201501877412e+01 4.083043822461592498e+01
5.181476846057572061e+01 4.093421543092676274e+01
5.193992490613266710e+01 4.103890813513488922e+01
5.206508135168961360e+01 4.114548691092807786e+01
5.219023779724656009e+01 4.124891603951702734e+01
5.231539424280350659e+01 4.135446906913154663e+01
5.244055068836045308e+01 4.145688539107984383e+01
5.256570713391739957e+01 4.156322942991958769e+01
5.269086357947434607e+01 4.166925315023716792e+01
5.281602002503129256e+01 4.177446749995148423e+01
5.294117647058823906e+01 4.187814807754109125e+01
5.306633291614518555e+01 4.198478279361454923e+01
5.319148936170213204e+01 4.208882879976825819e+01
5.331664580725907854e+01 4.219437410529796040e+01
5.344180225281602503e+01 4.229813804613046813e+01
5.356695869837297153e+01 4.240371526163738736e+01
5.369211514392991802e+01 4.250907963369856191e+01
5.381727158948686451e+01 4.261274784521409487e+01
5.394242803504380390e+01 4.271832941670675865e+01
5.406758448060075040e+01 4.282253443402640869e+01
5.419274092615769689e+01 4.292659191675783603e+01
5.431789737171464338e+01 4.302899726162988969e+01
5.444305381727158988e+01 4.313614859297887705e+01
5.456821026282853637e+01 4.324056897483125539e+01
5.469336670838548287e+01 4.334146076054043561e+01
5.481852315394242936e+01 4.345020701706527433e+01
5.494367959949937585e+01 4.355373528464463107e+01
5.506883604505632235e+01 4.365718798724255123e+01
5.519399249061326884e+01 4.376193226169026929e+01
5.531914893617021534e+01 4.386698166966836254e+01
5.544430538172716183e+01 4.397164671082362730e+01
5.556946182728410832e+01 4.407534268099468733e+01
5.569461827284105482e+01 4.417958727488848325e+01
5.581977471839800131e+01 4.428341048859553553e+01
5.594493116395494781e+01 4.438851023164541232e+01
5.607008760951189430e+01 4.449207561522050014e+01
5.619524405506884079e+01 4.459494522530540195e+01
5.632040050062578729e+01 4.470070686265041360e+01
5.644555694618273378e+01 4.480376491722034160e+01
5.657071339173968028e+01 4.490916003256135980e+01
5.669586983729662677e+01 4.501123026034822772e+01
5.682102628285356616e+01 4.511702539301972337e+01
5.694618272841051265e+01 4.522059651650482692e+01
5.707133917396745915e+01 4.532468948586495117e+01
5.719649561952440564e+01 4.542877985029125654e+01
5.732165206508135213e+01 4.553224791919826231e+01
5.744680851063829863e+01 4.563372867633552943e+01
5.757196495619524512e+01 4.574024351263842192e+01
5.769712140175219162e+01 4.584107418232895270e+01
5.782227784730913811e+01 4.594515573663680641e+01
5.794743429286608460e+01 4.605029873754968861e+01
5.807259073842303110e+01 4.615442198502987736e+01
5.819774718397997759e+01 4.625870920012587817e+01
5.832290362953692409e+01 4.636049900740088958e+01
5.844806007509387058e+01 4.646512264912478685e+01
5.857321652065081707e+01 4.656879618308791180e+01
5.869837296620776357e+01 4.667204614719495481e+01
5.882352941176471006e+01 4.677506590267566366e+01
5.894868585732165656e+01 4.687795506618876828e+01
5.907384230287860305e+01 4.698125996629141099e+01
5.919899874843554954e+01 4.708263953733432317e+01
5.932415519399249604e+01 4.718912955469431125e+01
5.944931163954944253e+01 4.729281230180689022e+01
5.957446808510638903e+01 4.739410879652610475e+01
5.969962453066333552e+01 4.750007218448587309e+01
5.982478097622027491e+01 4.760242775508120161e+01
5.994993742177722140e+01 4.770343525395927742e+01
6.007509386733416790e+01 4.780829360696566255e+01
6.020025031289111439e+01 4.791147765883920329e+01
6.032540675844806088e+01 4.801480617128201089e+01
6.045056320400500738e+01 4.811907110473143234e+01
6.057571964956195387e+01 4.821997509420008043e+01
6.070087609511890037e+01 4.832519467950233860e+01
6.082603254067584686e+01 4.842748902505039155e+01
6.095118898623279335e+01 4.852877221833011845e+01
6.107634543178973985e+01 4.863410062128718891e+01
6.120150187734668634e+01 4.873705993556205840e+01
6.132665832290363284e+01 4.883940419059251781e+01
6.145181476846057933e+01 4.894213077745008889e+01
6.157697121401752582e+01 4.904476919679010649e+01
6.170212765957447232e+01 4.914717538270138419e+01
6.182728410513141881e+01 4.925098364337464574e+01
6.195244055068836531e+01 4.935270803316242905e+01
6.207759699624531180e+01 4.945320993739534288e+01
6.220275344180225829e+01 4.955881256010337665e+01
6.232790988735920479e+01 4.966199522934674349e+01
6.245306633291615128e+01 4.976279500247228071e+01
6.257822277847309778e+01 4.986681776674330280e+01
6.270337922403003716e+01 4.996981835137832917e+01
6.282853566958698366e+01 5.007137921771563782e+01
6.295369211514393015e+01 5.017472822663518173e+01
6.307884856070087665e+01 5.027733967570494400e+01
6.320400500625782314e+01 5.037943509381831575e+01
6.332916145181476963e+01 5.048092769173395311e+01
6.345431789737171613e+01 5.058357921522414813e+01
6.357947434292866262e+01 5.068671855470135768e+01
6.370463078848560912e+01 5.078955156319734954e+01
6.382978723404255561e+01 5.088999592740720601e+01
6.395494367959950210e+01 5.099371757036168162e+01
6.408010012515644860e+01 5.109514526566518100e+01
6.420525657071338799e+01 5.119773897149981678e+01
6.433041301627034159e+01 5.130115221353229060e+01
6.445556946182728097e+01 5.140234108758333065e+01
6.458072590738423457e+01 5.150522467636730539e+01
6.470588235294117396e+01 5.160744912732064194e+01
6.483103879849812756e+01 5.170909696481098905e+01
6.495619524405506695e+01 5.181051660513303858e+01
6.508135168961202055e+01 5.191361401435645462e+01
6.520650813516895994e+01 5.201500790995455503e+01
6.533166458072591354e+01 5.211578984931053071e+01
6.545682102628285293e+01 5.221748241253725809e+01
6.558197747183980653e+01 5.232122245128202565e+01
6.570713391739674591e+01 5.242306403242145763e+01
6.583229036295369951e+01 5.252541256713838891e+01
6.595744680851063890e+01 5.262715433494773265e+01
6.608260325406759250e+01 5.272723512778404853e+01
6.620775969962453189e+01 5.283012997544389577e+01
6.633291614518148549e+01 5.293219436708088921e+01
6.645807259073842488e+01 5.303386162642907919e+01
6.658322903629537848e+01 5.313446488376204968e+01
6.670838548185231787e+01 5.323625509887884277e+01
6.683354192740927147e+01 5.333864807235928396e+01
6.695869837296621085e+01 5.343993497689572081e+01
6.708385481852315024e+01 5.354090747413605555e+01
6.720901126408010384e+01 5.364354009742029916e+01
6.733416770963704323e+01 5.374526075368815015e+01
6.745932415519399683e+01 5.384513161290259120e+01
6.758448060075093622e+01 5.394776551517768581e+01
6.770963704630788982e+01 5.404890695081390106e+01
6.783479349186482921e+01 5.415092845346077866e+01
6.795994993742178281e+01 5.425229799113640183e+01
6.808510638297872219e+01 5.435269362800661241e+01
