# r   Lambda(r)
5.907384230287860305e+01 -3.111479923170715978e+00
5.919899874843554954e+01 -3.111534354576544814e+00
5.932415519399249604e+01 -3.109399727305862005e+00
5.944931163954944253e+01 -3.109481707881813328e+00
5.957446808510638903e+01 -3.107785207896919477e+00
5.969962453066333552e+01 -3.107969429033064390e+00
5.982478097622027491e+01 -3.105156665386926473e+00
5.994993742177722140e+01 -3.103779298979281176e+00
6.007509386733416790e+01 -3.103165139813217621e+00
6.020025031289111439e+01 -3.102249904828352278e+00
6.032540675844806088e+01 -3.101002605553383695e+00
6.045056320400500738e+01 -3.100620080478238894e+00
6.057571964956195387e+01 -3.099444168382658571e+00
6.070087609511890037e+01 -3.097612530102120676e+00
6.082603254067584686e+01 -3.096532905608759823e+00
6.095118898623279335e+01 -3.097487680507981178e+00
6.107634543178973985e+01 -3.094979289913864395e+00
6.120150187734668634e+01 -3.093348327431405309e+00
6.132665832290363284e+01 -3.092229174178721784e+00
6.145181476846057933e+01 -3.091339909022246868e+00
6.157697121401752582e+01 -3.090895851858479482e+00
6.170212765957447232e+01 -3.089708073281323131e+00
6.182728410513141881e+01 -3.088180896534212572e+00
6.195244055068836531e+01 -3.086881702702020114e+00
6.207759699624531180e+01 -3.090025783479302124e+00
6.220275344180225829e+01 -3.085460952717526961e+00
6.232790988735920479e+01 -3.084265330298277430e+00
6.245306633291615128e+01 -3.082861737694031046e+00
6.257822277847309778e+01 -3.082849190039691045e+00
6.270337922403003716e+01 -3.086312872732063450e+00
6.282853566958698366e+01 -3.082170318529737774e+00
6.295369211514393015e+01 -3.082739527268398838e+00
6.307884856070087665e+01 -3.077859901531155629e+00
6.320400500625782314e+01 -3.076739888334560913e+00
6.332916145181476963e+01 -3.076816560504759490e+00
6.345431789737171613e+01 -3.074845474986993121e+00
6.357947434292866262e+01 -3.074105979783081644e+00
6.370463078848560912e+01 -3.073289365869962708e+00
6.382978723404255561e+01 -3.072294229800800913e+00
6.395494367959950210e+01 -3.071574826489255283e+00
6.408010012515644860e+01 -3.070804495412251978e+00
6.420525657071338799e+01 -3.069190044476806101e+00
6.433041301627034159e+01 -3.069543647848282486e+00
6.445556946182728097e+01 -3.068596776545097882e+00
6.458072590738423457e+01 -3.066422567534966781e+00
6.470588235294117396e+01 -3.065407574862278661e+00
6.483103879849812756e+01 -3.064506022139724450e+00
6.495619524405506695e+01 -3.065232336148072001e+00
6.508135168961202055e+01 -3.062876188093495600e+00
6.520650813516895994e+01 -3.062542463818040961e+00
6.533166458072591354e+01 -3.061322816431421678e+00
6.545682102628285293e+01 -3.060202688085539968e+00
6.558197747183980653e+01 -3.059418463368963170e+00
6.570713391739674591e+01 -3.058148879188627323e+00
6.583229036295369951e+01 -3.058859177118611772e+00
6.595744680851063890e+01 -3.056583076217269213e+00
6.608260325406759250e+01 -3.055821862812683420e+00
6.620775969962453189e+01 -3.054739790148262468e+00
6.633291614518148549e+01 -3.053688380491732524e+00
6.645807259073842488e+01 -3.052806632737425918e+00
6.658322903629537848e+01 -3.052340570185342994e+00
6.670838548185231787e+01 -3.051979094859703423e+00
6.683354192740927147e+01 -3.051177863756764808e+00
6.695869837296621085e+01 -3.050058009480712151e+00
6.708385481852315024e+01 -3.049238414690807808e+00
6.720901126408010384e+01 -3.047770341192777899e+00
6.733416770963704323e+01 -3.046862535560156182e+00
6.745932415519399683e+01 -3.046278493374298790e+00
6.758448060075093622e+01 -3.045138848678508925e+00
6.770963704630788982e+01 -3.044992622956289807e+00
6.783479349186482921e+01 -3.045215539939788219e+00
6.795994993742178281e+01 -3.043036337993688889e+00
6.808510638297872219e+01 -3.042105177625426204e+00
6.821026282853567579e+01 -3.041313201339717054e+00
6.833541927409261518e+01 -3.041276841384754182e+00
6.846057571964956878e+01 -3.039310462824163839e+00
6.858573216520650817e+01 -3.038647041394680670e+00
6.871088861076346177e+01 -3.038062224961384672e+00
6.883604505632040116e+01 -3.037185428582293234e+00
6.896120150187735476e+01 -3.036201369658692251e+00
6.908635794743429415e+01 -3.035287175398147852e+00
6.921151439299124775e+01 -3.034772575296154073e+00
6.933667083854818713e+01 -3.033703487946593391e+00
6.946182728410514073e+01 -3.032807182776862565e+00
6.958698372966208012e+01 -3.032025445842750688e+00
6.971214017521903372e+01 -3.031101375144808152e+00
